Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:33:50.2086614,1.288625,-0.01490554,-0.001218243,-0.1884657,341.9397,26.02748,358.7278,0.1536321,-0.2938601,-0.02277335,324.9231,28.6851,352.1332,1,0
2018/07/10 - 10:33:50.2186345,1.30005,-0.01522308,-0.001080752,-0.1889991,341.8447,26.02332,358.7989,0.1532677,-0.2926124,-0.02468619,324.1731,28.66754,351.9938,1,0
2018/07/10 - 10:33:50.2316000,1.310627,-0.01553452,-0.0009468348,-0.1895616,341.7388,25.93474,358.8427,0.1528816,-0.2916299,-0.02644864,323.3453,28.69296,351.9841,1,0
2018/07/10 - 10:33:50.2405754,1.322172,-0.01583868,-0.0007951048,-0.1900446,341.6426,25.80516,358.8934,0.1525934,-0.2908271,-0.02799721,322.681,28.81225,352.0958,1,0
2018/07/10 - 10:33:50.2525425,1.332804,-0.01623109,-0.0006602367,-0.1904288,341.5483,25.7473,358.9636,0.152293,-0.2903352,-0.02954649,321.9272,29.07912,352.2273,1,0
2018/07/10 - 10:33:50.2635138,1.343996,-0.01661189,-0.0005563786,-0.1907916,341.4727,25.60013,359.0001,0.1518912,-0.290005,-0.0311171,320.9739,29.24302,352.4658,1,0
2018/07/10 - 10:33:50.2754817,1.355377,-0.01706129,-0.0003850092,-0.1911628,341.4868,25.44816,359.0055,0.1514232,-0.2899456,-0.03245018,319.9241,29.3408,352.9314,1,0
2018/07/10 - 10:33:50.2854552,1.366155,-0.0174771,-0.0003694045,-0.1914209,341.3682,25.32497,359.097,0.150967,-0.2899238,-0.03366352,318.9854,29.41922,353.4676,1,0
2018/07/10 - 10:33:50.2994174,1.377374,-0.01797429,-0.0002469035,-0.1917188,341.3758,25.12334,359.1274,0.1507071,-0.2900951,-0.03473277,318.1894,29.54585,353.8163,1,0
2018/07/10 - 10:33:50.3103881,1.389886,-0.01846938,-0.000160196,-0.1918782,341.3286,24.94036,359.2211,0.1506646,-0.2903017,-0.0358229,317.6243,29.83307,353.6085,1,0
2018/07/10 - 10:33:50.3193643,1.400836,-0.0189141,-0.0001240744,-0.1920724,341.2567,24.62854,359.3666,0.1507447,-0.2907052,-0.03677569,317.462,30.15264,352.9374,1,0
2018/07/10 - 10:33:50.3323295,1.411588,-0.01944666,-6.732327E-06,-0.1923024,341.2595,24.38564,359.4868,0.1507259,-0.2912573,-0.03768369,317.4631,30.42527,352.0981,1,0
2018/07/10 - 10:33:50.3413057,1.422581,-0.02007108,0.0001812921,-0.1924523,341.2978,24.13124,359.5513,0.1504222,-0.29217,-0.03821922,317.8411,30.49526,351.1237,1,0
